time,ref,sensor
8.47125,-0.035950413,-0.023704589
8.471875,-0.037236296,-0.024819818
8.4725,-0.038441235,-0.025868827
8.473125,-0.039554731,-0.026854773
8.47375,-0.040571423,-0.0277817
8.474375,-0.04149083,-0.02865461
8.475,-0.042316462,-0.029479635
8.475625,-0.043056057,-0.030264991
8.47625,-0.043720453,-0.031021374
8.476875,-0.044322807,-0.031762454
8.4775,-0.044880483,-0.032505245
8.478125,-0.045415254,-0.033269706
8.47875,-0.045951444,-0.034077715
8.479375,-0.046516145,-0.034951441
8.48,-0.047137607,-0.035911051
8.480625,-0.047843491,-0.036972241
8.48125,-0.048657853,-0.038144403
8.481875,-0.049599092,-0.039428793
8.4825,-0.050677346,-0.040818069
8.483125,-0.05189257,-0.04229656
8.48375,-0.053233797,-0.043841751
8.484375,-0.054680296,-0.045426733
8.485,-0.056201429,-0.047023018
8.485625,-0.057760415,-0.048603586
8.48625,-0.059321612,-0.050145373
8.486875,-0.060849233,-0.051630384
8.4875,-0.062313705,-0.053046697
8.488125,-0.063693521,-0.054388202
8.48875,-0.064975095,-0.055653294
8.489375,-0.0661537,-0.0568429
8.49,-0.067230319,-0.057958522
8.490625,-0.068210569,-0.059000342
8.49125,-0.069100029,-0.059966255
8.491875,-0.069902139,-0.060851931
8.4925,-0.070617254,-0.061651791
8.493125,-0.071240464,-0.062360577
8.49375,-0.071763143,-0.062975156
8.494375,-0.072178094,-0.063496521
8.495,-0.072481256,-0.063931353
8.495625,-0.072673793,-0.064292369
8.49625,-0.072765709,-0.064597982
8.496875,-0.072776289,-0.064870474
8.4975,-0.072733171,-0.065133819
8.498125,-0.0726707,-0.065410924
8.49875,-0.072624785,-0.065720665
8.499375,-0.072629703,-0.066075412
8.5,-0.072711009,-0.066480483
8.500625,-0.072883965,-0.066933603
8.50125,-0.073151635,-0.067425856
8.501875,-0.073500963,-0.067943734
8.5025,-0.073911348,-0.068471625
8.503125,-0.074355971,-0.068994668
8.50375,-0.074805007,-0.069500239
8.504375,-0.075232558,-0.069979654
8.505,-0.075619986,-0.070428696
8.505625,-0.075957525,-0.070847164
8.50625,-0.076245473,-0.071237635
8.506875,-0.076491811,-0.071604443
8.5075,-0.076709759,-0.071951855
8.508125,-0.076912808,-0.07228311
8.50875,-0.07711125,-0.072600326
8.509375,-0.077312404,-0.07290484
8.51,-0.077513696,-0.073198001
8.510625,-0.077707797,-0.07348237
8.51125,-0.077886651,-0.073762889
8.511875,-0.078041861,-0.074047454
8.5125,-0.078168789,-0.074346871
